CustID,Premium,Model_Year,Owner_Type,Road side addon,No Claim bonus discount,Electric add on rate,Company,Car Type,RTO,CNGkit,Paymentmode,Total IDV,Seats,Acquisition Channel
10035,"34,778",2014,1,0,"1,522",337,Maruti,Sedan,Pen,0,UPI,"573,337",6,Direct
10036,"31,001",2014,1,0,"1,420",398,Maruti,HatchBack,Pen,0,Net Banking,"781,949",8,Direct
10037,"26,711",2001,2,1,"1,405",453,Hyundai,HatchBack,Pen,0,Credit Card,"749,022",8,Direct
10038,"33,614",2000,2,1,"1,279",473,Maruti,HatchBack,Navi Mumbai,0,Digital Wallet,"779,203",6,Direct
10039,"27,481",2009,1,1,"1,548",370,Hyundai,Sedan,Pen,0,UPI,"735,588",7,Direct
10040,"32,274",2001,1,1,"1,340",396,Hyundai,HatchBack,Navi Mumbai,1,Credit Card,"776,991",6,In Direct
10041,"31,374",2017,1,0,"1,565",427,Honda,Sedan,Pen,1,Digital Wallet,"782,703",8,Direct
10042,"27,023",2001,1,0,"1,201",484,Mahindra,Sedan,Pen,0,Credit Card,"607,386",8,In Direct
10043,"30,168",2012,2,0,"1,238",566,Mahindra,Sedan,Thane,1,UPI,"602,568",8,Direct
10044,"32,425",2016,1,1,"1,460",301,Hyundai,HatchBack,Pen,1,UPI,"692,295",7,Direct
10045,"28,643",2000,2,0,"1,596",438,Maruti,Sedan,Mumbai,0,UPI,"641,110",7,Direct
10046,"31,476",2002,2,0,"1,556",401,Maruti,Sedan,Mumbai,1,Credit Card,"822,658",8,Direct
10047,"28,318",2013,1,0,"1,377",372,Maruti,HatchBack,Mumbai,0,Net Banking,"792,670",6,In Direct
10048,"25,815",2011,2,0,"1,363",512,Honda,HatchBack,Mumbai,0,Net Banking,"707,922",8,In Direct
10049,"28,357",2004,2,0,"1,374",360,Hyundai,Sedan,Pen,0,UPI,"790,673",5,Direct
10050,"29,048",2009,1,0,"1,549",353,Honda,Sedan,Navi Mumbai,1,Digital Wallet,"768,483",6,Direct
10051,"30,928",2015,2,1,"1,411",402,Maruti,HatchBack,Navi Mumbai,1,UPI,"639,206",6,Direct
10052,"31,813",2009,2,0,"1,569",356,Honda,Sedan,Pen,1,Credit Card,"570,738",6,Direct
10053,"27,858",2002,1,1,"1,477",380,Maruti,HatchBack,Thane,1,Digital Wallet,"712,312",8,In Direct
10054,"33,878",2015,1,1,"1,548",321,Maruti,Sedan,Pen,1,Net Banking,"671,402",7,Direct
10055,"25,465",2001,1,1,"1,378",560,Maruti,HatchBack,Navi Mumbai,0,Digital Wallet,"772,009",6,In Direct
10056,"29,347",2002,1,0,"1,206",576,Maruti,HatchBack,Mumbai,0,Digital Wallet,"707,195",6,Direct
10057,"31,309",2018,2,1,"1,377",485,Maruti,Sedan,Pen,1,UPI,"728,067",5,In Direct
10058,"29,102",2018,2,1,"1,284",477,Maruti,HatchBack,Thane,1,Credit Card,"704,816",8,Direct
10059,"32,320",2009,2,0,"1,521",580,Hyundai,Sedan,Navi Mumbai,1,Digital Wallet,"760,526",7,Direct
10060,"31,456",2019,2,1,"1,473",344,Maruti,HatchBack,Mumbai,1,Credit Card,"762,166",8,In Direct
10061,"32,121",2000,2,0,"1,563",562,Hyundai,Sedan,Pen,0,UPI,"796,099",8,Direct
10062,"34,482",2017,1,1,"1,494",334,Maruti,HatchBack,Pen,0,Digital Wallet,"629,214",5,In Direct
10063,"33,456",2006,1,0,"1,202",305,Mahindra,Sedan,Mumbai,0,UPI,"553,060",6,In Direct
10064,"32,145",2003,1,1,"1,386",573,Mahindra,Sedan,Pen,0,Credit Card,"598,329",8,Direct
10065,"29,196",2012,2,0,"1,288",566,Hyundai,Sedan,Thane,0,Digital Wallet,"822,003",5,In Direct
10066,"27,896",2008,2,1,"1,390",374,Maruti,Sedan,Pen,0,Digital Wallet,"704,659",5,In Direct
10067,"34,858",2010,1,1,"1,242",580,Hyundai,Sedan,Mumbai,1,UPI,"634,118",6,In Direct
10068,"33,416",2019,2,0,"1,434",557,Maruti,HatchBack,Thane,0,Net Banking,"848,765",7,Direct
10069,"33,798",2011,2,0,"1,262",594,Mahindra,Sedan,Mumbai,0,Credit Card,"696,094",8,In Direct
10070,"28,030",2000,2,1,"1,438",352,Hyundai,Sedan,Mumbai,1,UPI,"609,634",8,Direct
10071,"34,914",2018,1,1,"1,562",349,Mahindra,Sedan,Mumbai,1,Credit Card,"681,214",5,Direct
10072,"25,441",2014,1,1,"1,537",522,Honda,HatchBack,Pen,1,Net Banking,"598,351",8,Direct
10073,"25,747",2001,2,1,"1,204",452,Mahindra,Sedan,Navi Mumbai,0,Digital Wallet,"567,942",5,Direct
10074,"29,018",2013,2,0,"1,483",477,Hyundai,Sedan,Thane,1,Credit Card,"701,651",7,Direct
10075,"32,389",2013,2,1,"1,378",560,Hyundai,Sedan,Thane,1,Digital Wallet,"673,317",8,Direct
10076,"33,483",2018,2,0,"1,489",437,Honda,HatchBack,Navi Mumbai,1,Digital Wallet,"834,297",8,In Direct
10077,"33,453",2011,1,0,"1,208",344,Mahindra,Sedan,Thane,0,Credit Card,"831,623",7,Direct
10078,"29,142",2009,1,0,"1,542",339,Hyundai,HatchBack,Thane,1,Credit Card,"649,528",8,Direct
10079,"33,725",2000,1,1,"1,449",340,Hyundai,Sedan,Pen,0,Digital Wallet,"741,646",8,In Direct
10080,"32,802",2009,1,1,"1,590",350,Mahindra,Sedan,Pen,1,Credit Card,"819,292",5,In Direct
10081,"29,729",2000,1,1,"1,369",326,Mahindra,HatchBack,Mumbai,1,UPI,"692,620",7,In Direct
10082,"31,500",2008,2,1,"1,364",566,Maruti,HatchBack,Navi Mumbai,1,Net Banking,"748,512",6,Direct
10083,"30,549",2005,2,0,"1,309",591,Mahindra,Sedan,Mumbai,0,Digital Wallet,"630,171",8,Direct
10084,"32,994",2000,1,0,"1,489",565,Honda,HatchBack,Navi Mumbai,0,UPI,"632,644",7,Direct
10085,"32,376",2016,1,1,"1,249",565,Maruti,Sedan,Mumbai,0,Digital Wallet,"782,899",7,In Direct
10086,null,2004,1,1,"1,282",405,Mahindra,Sedan,Pen,1,UPI,"629,484",5,In Direct
10087,"29,026",2010,1,1,"1,327",490,Mahindra,Sedan,Mumbai,0,Credit Card,"813,465",7,In Direct
10088,"31,938",2019,2,1,"1,481",466,Hyundai,Sedan,Thane,0,Credit Card,"614,384",8,In Direct
10089,"27,211",2000,1,1,"1,438",450,Honda,Sedan,Navi Mumbai,0,Net Banking,"685,349",5,Direct
10090,"34,483",2007,2,0,"1,409",581,Mahindra,Sedan,Mumbai,1,Credit Card,"595,553",5,In Direct
10091,"29,225",2005,2,0,"1,373",312,Hyundai,Sedan,Thane,1,UPI,"651,233",7,Direct
10092,"34,734",2012,2,0,"1,317",533,Maruti,HatchBack,Thane,0,Credit Card,"839,677",8,Direct
10093,"25,229",2016,1,1,"1,400",421,Maruti,Sedan,Thane,1,Digital Wallet,"727,348",5,In Direct
10094,"32,444",2008,1,0,"1,455",449,Hyundai,HatchBack,Navi Mumbai,0,UPI,"761,832",8,Direct
10095,"32,149",2005,1,1,"1,254",429,Honda,HatchBack,Navi Mumbai,0,Digital Wallet,"567,594",7,Direct
10096,"28,413",2004,2,1,"1,396",531,Mahindra,HatchBack,Mumbai,1,Net Banking,"725,000",8,Direct
10097,"26,490",2002,2,0,"1,360",478,Mahindra,Sedan,Navi Mumbai,1,Digital Wallet,"592,847",5,In Direct
10098,"28,135",2001,2,1,"1,236",499,Honda,HatchBack,Mumbai,0,Credit Card,"708,910",8,In Direct
10099,"27,853",2018,1,1,"1,483",407,Hyundai,HatchBack,Pen,0,UPI,"551,799",8,Direct
10100,"27,443",2000,2,1,"1,258",380,Honda,Sedan,Navi Mumbai,1,Net Banking,"775,878",7,In Direct
10101,"26,838",2015,1,0,"1,210",338,Mahindra,HatchBack,Pen,1,Digital Wallet,"554,703",5,In Direct
10102,"34,877",2006,2,0,"1,443",486,Hyundai,Sedan,Navi Mumbai,0,Net Banking,"693,169",8,Direct
10103,"33,332",2005,1,1,"1,591",302,Honda,Sedan,Thane,1,Digital Wallet,"698,806",7,In Direct
10104,"32,308",2011,2,0,"1,565",443,Maruti,Sedan,Thane,0,UPI,"571,743",5,In Direct
10105,"31,994",2007,1,0,"1,492",401,Honda,HatchBack,Mumbai,1,Credit Card,"655,770",6,Direct
10106,"33,832",2005,1,0,"1,557",352,Mahindra,HatchBack,Mumbai,1,Credit Card,"839,520",8,In Direct
10107,"29,495",2014,2,0,"1,339",446,Honda,HatchBack,Thane,1,UPI,"572,624",6,In Direct
10108,"29,298",2003,2,0,"1,497",509,Hyundai,HatchBack,Pen,1,Net Banking,"722,857",5,In Direct
10109,"27,194",2000,1,0,"1,362",314,Maruti,HatchBack,Thane,1,Net Banking,"814,053",8,Direct
10110,"31,827",2005,1,0,"1,378",431,Mahindra,Sedan,Navi Mumbai,0,Net Banking,"834,396",5,In Direct
10111,"31,813",2009,2,1,"1,294",397,Hyundai,HatchBack,Mumbai,1,Net Banking,"633,981",7,In Direct
10112,"31,266",2007,2,1,"1,480",323,Hyundai,HatchBack,Navi Mumbai,1,Credit Card,"573,126",6,In Direct
10113,"33,433",2006,2,0,"1,264",389,Mahindra,Sedan,Mumbai,1,Net Banking,"580,003",6,In Direct
10114,"32,720",2013,1,0,"1,392",302,Honda,Sedan,Thane,1,Digital Wallet,"555,373",8,Direct
10115,"25,450",2008,1,1,"1,331",556,Mahindra,Sedan,Navi Mumbai,1,Digital Wallet,"753,970",8,Direct
10116,"26,272",2018,2,1,"1,245",562,Mahindra,HatchBack,Navi Mumbai,1,Digital Wallet,"782,874",5,Direct
10117,"25,769",2011,2,0,"1,490",561,Mahindra,HatchBack,Navi Mumbai,1,UPI,"818,788",5,Direct
10118,"27,957",2010,1,0,"1,449",320,Honda,Sedan,Mumbai,0,UPI,"583,985",5,In Direct
10119,"29,460",2002,2,1,"1,279",365,Honda,HatchBack,Pen,1,Digital Wallet,"689,263",7,In Direct
10120,"31,837",2004,2,0,"1,335",342,Hyundai,Sedan,Mumbai,1,Digital Wallet,"552,493",8,Direct
10121,"33,462",2013,2,0,"1,417",523,Honda,Sedan,Thane,1,Net Banking,"699,304",8,Direct
10122,"25,713",2007,1,1,"1,331",578,Mahindra,Sedan,Mumbai,0,Digital Wallet,"787,907",8,In Direct
10123,"28,393",2004,2,0,"1,304",491,Mahindra,HatchBack,Pen,0,Net Banking,"763,427",5,Direct
10124,"28,239",2008,2,0,"1,510",433,Hyundai,Sedan,Navi Mumbai,0,Credit Card,"716,860",5,In Direct
10125,"28,144",2004,2,1,"1,491",515,Hyundai,HatchBack,Thane,0,UPI,"736,235",7,In Direct
10126,"31,005",2005,2,0,"1,245",586,Hyundai,HatchBack,Navi Mumbai,1,Credit Card,"607,704",8,Direct
10127,"34,503",2018,1,0,"1,201",511,Hyundai,Sedan,Mumbai,0,Net Banking,"729,633",8,In Direct
10128,"32,431",2000,1,0,"1,360",367,Mahindra,HatchBack,Navi Mumbai,0,Credit Card,"592,849",8,In Direct
10129,"32,796",2013,1,0,"1,388",387,Honda,Sedan,Pen,1,Digital Wallet,"811,645",8,In Direct
10130,"28,773",2013,1,0,"1,519",468,Mahindra,HatchBack,Pen,0,Net Banking,"699,489",6,In Direct
10131,"34,632",2014,1,1,"1,212",343,Mahindra,HatchBack,Thane,0,UPI,"565,970",7,In Direct
10132,"33,953",2016,1,1,"1,215",574,Honda,Sedan,Thane,0,Net Banking,"555,426",7,In Direct
10133,"26,217",2012,2,1,"1,526",362,Hyundai,HatchBack,Mumbai,0,Digital Wallet,"677,270",8,Direct
10134,"26,648",2007,1,1,"1,434",590,Mahindra,HatchBack,Navi Mumbai,0,UPI,"591,538",6,In Direct
10135,"32,067",2006,1,1,"1,413",419,Hyundai,Sedan,Navi Mumbai,1,Credit Card,"795,031",7,Direct
10136,"32,617",2017,2,0,"1,556",525,Hyundai,Sedan,Thane,1,Credit Card,"716,371",6,In Direct
10137,"27,764",2006,2,0,"1,560",341,Mahindra,Sedan,Pen,1,Net Banking,"696,733",5,Direct
10138,"31,662",2019,1,1,"1,506",451,Maruti,Sedan,Mumbai,1,Digital Wallet,"811,017",8,In Direct
10139,"30,039",2009,1,0,"1,454",537,Hyundai,HatchBack,Navi Mumbai,0,Credit Card,"626,902",6,In Direct
10140,"26,047",2003,1,1,"1,567",427,Mahindra,Sedan,Navi Mumbai,1,Net Banking,"791,863",6,In Direct
10141,"31,577",2012,1,0,"1,534",375,Mahindra,HatchBack,Mumbai,0,UPI,"676,324",5,In Direct
10142,"34,236",2010,2,1,"1,505",449,Honda,HatchBack,Navi Mumbai,0,Digital Wallet,"615,741",6,Direct
10143,"33,379",2000,1,0,"1,364",599,Mahindra,Sedan,Navi Mumbai,1,Digital Wallet,"817,063",6,Direct
10144,"26,213",2016,2,1,"1,357",581,Maruti,HatchBack,Navi Mumbai,1,Digital Wallet,"783,111",8,In Direct
10145,"32,653",2000,1,1,"1,384",432,Hyundai,Sedan,Mumbai,1,Net Banking,"554,774",7,In Direct
10146,"33,904",2004,2,0,"1,427",312,Honda,Sedan,Mumbai,0,Credit Card,"848,638",6,In Direct
10147,"31,075",2004,1,0,"1,384",538,Maruti,Sedan,Thane,0,Credit Card,"595,640",5,In Direct
10148,"26,770",2014,1,1,"1,283",553,Hyundai,HatchBack,Navi Mumbai,0,Credit Card,"691,322",5,In Direct
10149,"33,056",2019,1,0,"1,579",491,Mahindra,Sedan,Mumbai,1,Credit Card,"741,263",5,Direct
10150,"30,527",2004,1,0,"1,447",592,Mahindra,HatchBack,Navi Mumbai,0,Net Banking,"730,714",6,Direct
10151,"31,005",2005,2,1,"1,419",336,Honda,Sedan,Pen,0,Net Banking,"846,665",5,Direct
10152,"26,664",2012,2,1,"1,270",508,Maruti,HatchBack,Navi Mumbai,1,UPI,"584,316",5,In Direct
10153,"32,894",2011,2,1,"1,585",587,Mahindra,HatchBack,Pen,1,UPI,"664,349",7,In Direct
10154,"33,412",2018,2,0,"1,472",468,Hyundai,HatchBack,Pen,0,Net Banking,"795,819",7,In Direct
10155,"27,282",2012,2,1,"1,367",308,Mahindra,HatchBack,Pen,1,Credit Card,"739,646",7,Direct
10156,"33,044",2002,1,0,"1,218",305,Maruti,HatchBack,Pen,1,Credit Card,"732,437",6,Direct
10157,"31,918",2001,2,0,"1,318",520,Maruti,HatchBack,Pen,1,Net Banking,"730,721",5,In Direct
10158,"29,670",2013,2,1,"1,488",573,Maruti,Sedan,Thane,1,Credit Card,"619,344",7,In Direct
10159,"26,647",2010,1,1,"1,347",303,Mahindra,Sedan,Thane,1,Net Banking,"648,386",7,Direct
10160,"26,381",2014,1,0,"1,378",550,Maruti,Sedan,Pen,0,Digital Wallet,"619,987",7,Direct
10161,"34,970",2017,2,0,"1,323",433,Mahindra,HatchBack,Thane,0,Net Banking,"677,754",8,Direct
10162,"30,411",2016,1,1,"1,548",390,Maruti,HatchBack,Thane,1,UPI,"591,869",7,Direct
10163,"27,207",2008,2,0,"1,600",377,Hyundai,Sedan,Pen,1,Net Banking,"748,547",6,In Direct
10164,"28,281",2016,2,1,"1,299",467,Maruti,HatchBack,Mumbai,1,UPI,"794,932",5,In Direct
10165,"27,692",2019,1,1,"1,556",490,Maruti,HatchBack,Mumbai,0,Digital Wallet,"611,263",7,In Direct
10166,"27,120",2013,1,0,"1,496",382,Honda,Sedan,Navi Mumbai,0,Credit Card,"782,610",7,Direct
10167,"30,643",2004,1,1,"1,354",568,Maruti,Sedan,Thane,1,Digital Wallet,"594,140",5,In Direct
10168,"30,474",2014,1,0,"1,220",343,Hyundai,HatchBack,Navi Mumbai,1,UPI,"819,078",8,Direct
10169,"34,397",2015,1,1,"1,512",351,Mahindra,HatchBack,Pen,1,UPI,"799,814",8,In Direct
10170,"26,219",2004,2,1,"1,250",311,Honda,HatchBack,Thane,1,UPI,"637,720",6,In Direct
10171,"26,742",2001,1,1,"1,532",536,Mahindra,Sedan,Thane,0,UPI,"795,901",5,In Direct
10172,"33,740",2010,1,1,"1,210",418,Hyundai,HatchBack,Mumbai,0,Net Banking,"688,820",7,Direct
10173,"28,994",2010,2,0,"1,476",563,Hyundai,HatchBack,Navi Mumbai,1,Net Banking,"756,521",5,In Direct
10174,"26,844",2001,1,0,"1,509",357,Maruti,Sedan,Pen,1,Credit Card,"661,765",7,Direct
10175,"27,106",2007,2,1,"1,426",455,Mahindra,HatchBack,Thane,1,Digital Wallet,"836,984",6,Direct
10176,"26,956",2008,1,1,"1,556",442,Mahindra,Sedan,Pen,1,Credit Card,"794,860",7,Direct
10177,"28,311",2012,1,1,"1,574",315,Hyundai,Sedan,Navi Mumbai,0,Credit Card,"576,075",7,Direct
10178,"33,300",2006,1,0,"1,327",362,Maruti,Sedan,Mumbai,0,UPI,"769,793",5,In Direct
10179,"31,028",2013,2,1,"1,597",392,Maruti,HatchBack,Mumbai,1,UPI,"767,347",6,In Direct
10180,"26,156",2014,2,0,"1,426",315,Honda,HatchBack,Mumbai,0,UPI,"790,673",5,In Direct
10181,"26,387",2009,2,0,"1,372",573,Maruti,HatchBack,Pen,0,Digital Wallet,"648,367",8,In Direct
10182,"30,291",2008,2,1,"1,511",384,Mahindra,HatchBack,Mumbai,1,Credit Card,"681,089",5,In Direct
10183,null,2018,2,1,"1,224",383,Maruti,HatchBack,Thane,0,UPI,"675,449",8,In Direct
10184,"28,103",2007,2,1,"1,388",589,Hyundai,Sedan,Thane,0,Credit Card,"771,769",7,Direct
10185,"28,533",2008,1,0,"1,365",371,Maruti,HatchBack,Pen,1,UPI,"767,869",7,Direct
10186,"31,201",2010,2,1,"1,315",460,Maruti,HatchBack,Thane,0,Net Banking,"587,093",8,Direct
10187,"26,050",2014,1,0,"1,547",482,Mahindra,Sedan,Navi Mumbai,1,UPI,"584,962",8,Direct
10188,"31,539",2002,2,0,"1,493",524,Honda,Sedan,Pen,1,UPI,"805,971",8,Direct
10189,"34,729",2003,1,0,"1,548",318,Honda,Sedan,Thane,0,UPI,"709,104",7,In Direct
10190,"27,380",2005,1,1,"1,383",419,Honda,Sedan,Pen,1,Net Banking,"834,943",6,In Direct
10191,"33,078",2014,2,1,"1,524",441,Mahindra,Sedan,Mumbai,0,Credit Card,"802,077",7,Direct
10192,"25,090",2008,2,0,"1,414",515,Maruti,HatchBack,Mumbai,1,Digital Wallet,"704,857",6,In Direct
10193,"25,955",2013,2,0,"1,387",563,Hyundai,Sedan,Mumbai,0,Net Banking,"561,438",5,Direct
10194,"34,833",2005,2,1,"1,288",302,Hyundai,HatchBack,Navi Mumbai,0,UPI,"757,264",7,Direct
10195,"28,832",2011,1,0,"1,257",431,Mahindra,Sedan,Thane,1,Digital Wallet,"663,178",8,Direct
10196,"34,854",2014,2,0,"1,263",421,Honda,Sedan,Mumbai,0,Digital Wallet,"789,211",8,In Direct
10197,"33,123",2005,2,1,"1,488",480,Maruti,HatchBack,Navi Mumbai,0,Credit Card,"603,728",6,In Direct
10198,"28,464",2012,2,1,"1,537",430,Maruti,HatchBack,Mumbai,0,Net Banking,"784,561",8,In Direct
10199,"31,703",2008,1,1,"1,517",493,Hyundai,HatchBack,Navi Mumbai,1,Net Banking,"577,849",7,Direct
10200,"25,751",2012,2,1,"1,490",351,Hyundai,Sedan,Mumbai,1,Credit Card,"751,239",7,In Direct
10201,"28,295",2015,2,1,"1,385",484,Mahindra,Sedan,Thane,1,Credit Card,"818,337",7,Direct
10202,"32,952",2010,1,1,"1,326",496,Maruti,Sedan,Pen,1,Digital Wallet,"798,376",5,In Direct
10203,"26,684",2015,1,0,"1,312",489,Mahindra,HatchBack,Navi Mumbai,0,UPI,"812,837",7,Direct
10204,"33,130",2001,1,0,"1,281",465,Maruti,HatchBack,Pen,1,Net Banking,"712,847",6,Direct
10205,"32,615",2016,2,0,"1,459",498,Honda,Sedan,Navi Mumbai,1,UPI,"570,570",8,Direct
10206,"26,137",2016,2,1,"1,467",395,Maruti,Sedan,Pen,0,Net Banking,"838,751",6,Direct
10207,"26,784",2017,1,0,"1,371",547,Mahindra,Sedan,Mumbai,1,Digital Wallet,"760,060",8,Direct
10208,"29,447",2011,2,0,"1,460",547,Honda,Sedan,Thane,0,Digital Wallet,"798,434",7,Direct
10209,"32,266",2005,1,0,"1,457",346,Maruti,HatchBack,Navi Mumbai,1,Credit Card,"674,292",6,Direct
10210,"32,620",2003,2,1,"1,475",301,Hyundai,HatchBack,Thane,1,UPI,"656,440",5,Direct
10211,"27,637",2006,1,0,"1,379",451,Honda,Sedan,Thane,1,UPI,"709,416",5,Direct
10212,"25,728",2001,2,1,"1,358",443,Honda,HatchBack,Navi Mumbai,0,UPI,"791,294",8,In Direct
10213,"30,916",2018,1,0,"1,543",519,Honda,Sedan,Mumbai,1,Digital Wallet,"814,961",8,In Direct
10214,"27,043",2000,2,0,"1,486",536,Maruti,Sedan,Pen,1,Net Banking,"765,500",7,In Direct
10215,"26,563",2004,2,1,"1,266",497,Hyundai,HatchBack,Thane,1,Credit Card,"748,429",6,Direct
10216,"32,269",2013,2,0,"1,381",515,Mahindra,HatchBack,Pen,1,Digital Wallet,"835,053",7,In Direct
10217,"33,704",2003,2,0,"1,491",326,Mahindra,Sedan,Pen,0,Net Banking,"555,107",6,Direct
10218,"30,470",2012,1,0,"1,277",547,Hyundai,HatchBack,Navi Mumbai,0,Credit Card,"659,355",6,In Direct
10219,"32,919",2001,2,1,"1,223",515,Honda,Sedan,Pen,1,Net Banking,"722,232",7,Direct
10220,"32,227",2012,1,0,"1,337",542,Hyundai,HatchBack,Pen,0,UPI,"666,331",8,Direct
10221,"31,448",2013,1,1,"1,519",555,Maruti,HatchBack,Pen,0,Net Banking,"611,454",7,In Direct
10222,"33,013",2004,1,1,"1,562",430,Hyundai,Sedan,Thane,0,Digital Wallet,"681,510",8,In Direct
10223,"26,017",2000,1,0,"1,252",318,Mahindra,Sedan,Pen,1,Credit Card,"578,081",8,In Direct
10224,"29,475",2019,1,1,"1,226",578,Mahindra,HatchBack,Mumbai,0,UPI,"591,421",7,Direct
10225,"27,439",2004,1,1,"1,286",371,Hyundai,Sedan,Thane,1,Credit Card,"650,832",7,In Direct
10226,"26,323",2016,1,1,"1,574",383,Maruti,Sedan,Thane,1,Net Banking,"657,540",6,In Direct
10227,"32,807",2000,2,1,"1,593",458,Hyundai,Sedan,Navi Mumbai,0,Digital Wallet,"584,399",8,Direct
10228,"33,270",2004,1,1,"1,309",590,Hyundai,Sedan,Mumbai,1,Net Banking,"565,003",7,Direct
10229,"33,809",2007,1,1,"1,398",512,Mahindra,HatchBack,Navi Mumbai,0,Digital Wallet,"664,647",8,In Direct
10230,"31,719",2002,2,1,"1,515",349,Hyundai,Sedan,Mumbai,0,Credit Card,"670,352",8,Direct
10231,"30,990",2014,2,0,"1,505",478,Honda,HatchBack,Thane,0,UPI,"761,372",8,Direct
10232,"34,061",2016,1,1,"1,265",516,Hyundai,HatchBack,Pen,1,Net Banking,"685,167",5,Direct
10233,"34,521",2008,1,1,"1,289",583,Mahindra,Sedan,Mumbai,1,Credit Card,"639,481",8,In Direct
10234,"25,117",2017,2,0,"1,429",330,Hyundai,HatchBack,Navi Mumbai,0,Net Banking,"652,301",8,In Direct
10235,"27,594",2014,2,1,"1,288",400,Maruti,HatchBack,Navi Mumbai,0,Digital Wallet,"670,638",7,Direct
10236,"27,845",2004,1,0,"1,286",434,Maruti,Sedan,Mumbai,1,Net Banking,"699,677",5,In Direct
